,County,State,num_private_schools
1750,St. Johns County,Florida,15
1751,St. Joseph County,Indiana,37
1752,St. Joseph County,Michigan,7
1753,St. Landry Parish,Louisiana,6
1754,St. Lawrence County,New York,17
1755,St. Louis County,Minnesota,10
1756,St. Louis County,Missouri,121
1757,St. Louis city,Missouri,27
1758,St. Lucie County,Florida,26
1759,St. Martin Parish,Louisiana,3
1760,St. Mary Parish,Louisiana,2
1761,St. Mary's County,Maryland,17
1762,St. Tammany Parish,Louisiana,17
1763,Stafford County,Virginia,9
1764,Stanislaus County,California,21
1765,Stanly County,North Carolina,4
1766,Stark County,North Dakota,6
1767,Stark County,Ohio,29
1768,Starke County,Indiana,1
1769,Staunton city,Virginia,5
1770,Ste. Genevieve County,Missouri,3
1771,Stearns County,Minnesota,20
1772,Steele County,Minnesota,2
1773,Stephenson County,Illinois,1
1774,Steuben County,New York,8
1775,Stevens County,Kansas,1
1776,Stevens County,Minnesota,1
1777,Stevens County,Washington,3
1778,Stokes County,North Carolina,1
1779,Stone County,Mississippi,1
1780,Stone County,Missouri,1
1781,Story County,Iowa,2
1782,Strafford County,New Hampshire,11
1783,Stutsman County,North Dakota,3
1784,Suffolk County,Massachusetts,46
1785,Suffolk County,New York,47
1786,Suffolk city,Virginia,2
1787,Sullivan County,New Hampshire,6
1788,Sullivan County,New York,5
1789,Sullivan County,Tennessee,7
1790,Summers County,West Virginia,2
1791,Summit County,Colorado,1
1792,Summit County,Ohio,35
1793,Summit County,Utah,3
1794,Sumner County,Kansas,1
1795,Sumner County,Tennessee,13
1796,Sumter County,Florida,1
1797,Sumter County,Georgia,1
1798,Sumter County,South Carolina,8
1799,Sunflower County,Mississippi,2
1800,Surry County,North Carolina,2
1801,Susquehanna County,Pennsylvania,1
1802,Sussex County,Delaware,7
1803,Sussex County,New Jersey,11
1804,Sussex County,Virginia,1
1805,Sutter County,California,4
1806,Suwannee County,Florida,6
1807,Swain County,North Carolina,2
1808,Sweetwater County,Wyoming,2
1809,Talbot County,Maryland,4
1810,Talladega County,Alabama,3
1811,Tallapoosa County,Alabama,2
1812,Taney County,Missouri,3
1813,Tangipahoa Parish,Louisiana,6
1814,Tarrant County,Texas,85
1815,Tate County,Mississippi,1
1816,Taylor County,Florida,2
1817,Taylor County,Georgia,1
1818,Taylor County,Kentucky,2
1819,Taylor County,Texas,5
1820,Taylor County,Wisconsin,3
1821,Tazewell County,Illinois,7
1822,Tazewell County,Virginia,3
1823,Tehama County,California,1
1824,Tensas Parish,Louisiana,1
1825,Terrebonne Parish,Louisiana,8
1826,Terrell County,Georgia,1
1827,Teton County,Idaho,1
1828,Teton County,Wyoming,5
1829,Texas County,Oklahoma,1
1830,Thayer County,Nebraska,1
1831,Thomas County,Kansas,3
1832,Thurston County,Nebraska,1
1833,Thurston County,Washington,18
1834,Tift County,Georgia,1
1835,Tillamook County,Oregon,3
1836,Tioga County,New York,1
1837,Tioga County,Pennsylvania,5
1838,Tippecanoe County,Indiana,10
1839,Tipton County,Tennessee,1
1840,Titus County,Texas,1
1841,Todd County,Kentucky,1
1842,Todd County,Minnesota,4
1843,Todd County,South Dakota,1
1844,Tom Green County,Texas,7
1845,Tompkins County,New York,5
1846,Tooele County,Utah,2
1847,Toombs County,Georgia,3
1848,Towns County,Georgia,1
1849,Transylvania County,North Carolina,2
1850,Travis County,Texas,85
1851,Trempealeau County,Wisconsin,8
1852,Trigg County,Kentucky,1
1853,Troup County,Georgia,4
1854,Trumbull County,Ohio,13
1855,Tucker County,West Virginia,1
1856,Tulare County,California,9
1857,Tulsa County,Oklahoma,37
1858,Tuolumne County,California,4
1859,Tuscaloosa County,Alabama,8
1860,Tuscarawas County,Ohio,19
1861,Tuscola County,Michigan,5
1862,Twiggs County,Georgia,2
1863,Twin Falls County,Idaho,8
1864,Tyler County,Texas,1
1865,Uintah County,Utah,1
1866,Ulster County,New York,12
1867,Umatilla County,Oregon,4
1868,Union County,Arkansas,2
1869,Union County,Iowa,2
1870,Union County,Mississippi,1
1871,Union County,New Jersey,54
1872,Union County,North Carolina,10
1873,Union County,Ohio,2
1874,Union County,Oregon,4
1875,Union County,Pennsylvania,9
1876,Union County,South Carolina,1
1877,Upshur County,West Virginia,1
1878,Upson County,Georgia,2
1879,Utah County,Utah,16
1880,Uvalde County,Texas,3
1881,Val Verde County,Texas,2
1882,Valencia County,New Mexico,3
1883,Valley County,Idaho,3
1884,Valley County,Montana,1
1885,Van Buren County,Michigan,5
1886,Van Wert County,Ohio,1
1887,Vance County,North Carolina,3
1888,Vanderburgh County,Indiana,14
1889,Venango County,Pennsylvania,6
1890,Ventura County,California,55
1891,Vermilion County,Illinois,5
1892,Vermilion Parish,Louisiana,2
1893,Vermillion County,Indiana,1
1894,Vernon County,Wisconsin,9
1895,Victoria County,Texas,12
1896,Vigo County,Indiana,4
1897,Vilas County,Wisconsin,1
1898,Vinton County,Ohio,1
1899,Virginia Beach city,Virginia,33
1900,Volusia County,Florida,50
1901,Wabash County,Illinois,1
1902,Wabash County,Indiana,4
1903,Wabasha County,Minnesota,2
1904,Wabaunsee County,Kansas,1
1905,Wadena County,Minnesota,1
1906,Wake County,North Carolina,66
1907,Wakulla County,Florida,2
1908,Waldo County,Maine,1
1909,Walker County,Alabama,2
1910,Walker County,Texas,2
1911,Walla Walla County,Washington,5
1912,Waller County,Texas,2
1913,Wallowa County,Oregon,1
1914,Walton County,Florida,9
1915,Walton County,Georgia,11
1916,Walworth County,Wisconsin,14
1917,Wapello County,Iowa,2
1918,Ward County,North Dakota,3
1919,Ware County,Georgia,1
1920,Warren County,Georgia,1
1921,Warren County,Illinois,1
1922,Warren County,Iowa,3
1923,Warren County,Kentucky,5
1924,Warren County,Mississippi,5
1925,Warren County,Missouri,5
1926,Warren County,New Jersey,4
1927,Warren County,New York,1
1928,Warren County,North Carolina,1
1929,Warren County,Ohio,21
1930,Warren County,Pennsylvania,11
1931,Warren County,Tennessee,4
1932,Warren County,Virginia,6
1933,Warrick County,Indiana,4
1934,Wasco County,Oregon,1
1935,Waseca County,Minnesota,2
1936,Washburn County,Wisconsin,1
1937,Washington County,Arkansas,10
1938,Washington County,Florida,3
1939,Washington County,Georgia,1
1940,Washington County,Illinois,5
1941,Washington County,Indiana,3
1942,Washington County,Iowa,1
1943,Washington County,Kansas,2
1944,Washington County,Kentucky,1
1945,Washington County,Maine,1
1946,Washington County,Maryland,14
1947,Washington County,Minnesota,16
1948,Washington County,Mississippi,7
1949,Washington County,Missouri,1
1950,Washington County,Nebraska,1
1951,Washington County,New York,1
1952,Washington County,Ohio,3
1953,Washington County,Oklahoma,1
1954,Washington County,Oregon,37
1955,Washington County,Pennsylvania,14
1956,Washington County,Rhode Island,6
1957,Washington County,Tennessee,9
1958,Washington County,Texas,4
1959,Washington County,Utah,6
1960,Washington County,Vermont,10
1961,Washington County,Virginia,2
1962,Washington County,Wisconsin,19
1963,Washington Parish,Louisiana,3
1964,Washita County,Oklahoma,1
1965,Washoe County,Nevada,24
1966,Washtenaw County,Michigan,26
1967,Watauga County,North Carolina,1
1968,Watonwan County,Minnesota,2
1969,Waukesha County,Wisconsin,45
1970,Waupaca County,Wisconsin,9
1971,Waushara County,Wisconsin,3
1972,Wayne County,Georgia,2
1973,Wayne County,Illinois,1
1974,Wayne County,Indiana,8
1975,Wayne County,Kentucky,1
1976,Wayne County,Michigan,73
1977,Wayne County,Missouri,3
1978,Wayne County,Nebraska,2
1979,Wayne County,New York,2
1980,Wayne County,North Carolina,9
1981,Wayne County,Ohio,65
1982,Wayne County,Pennsylvania,2
1983,Waynesboro city,Virginia,2
1984,Weakley County,Tennessee,2
1985,Webb County,Texas,9
1986,Weber County,Utah,11
1987,Webster County,Iowa,4
1988,Webster County,Missouri,17
1989,Webster Parish,Louisiana,1
1990,Weld County,Colorado,6
1991,Wells County,Indiana,3
1992,West Baton Rouge Parish,Louisiana,2
1993,Westchester County,New York,76
1994,Western Connecticut Planning Region,Connecticut,44
1995,Westmoreland County,Pennsylvania,24
1996,Westmoreland County,Virginia,1
1997,Wexford County,Michigan,2
1998,Wharton County,Texas,3
1999,Whatcom County,Washington,16
2000,Wheatland County,Montana,1
2001,White County,Arkansas,7
2002,White County,Indiana,1
2003,White County,Tennessee,1
2004,Whiteside County,Illinois,5
2005,Whitfield County,Georgia,2
2006,Whitley County,Indiana,3
2007,Whitman County,Washington,2
2008,Wichita County,Texas,2
2009,Wicomico County,Maryland,9
2010,Wilbarger County,Texas,1
2011,Wilcox County,Alabama,2
2012,Wilcox County,Georgia,1
2013,Wilkes County,North Carolina,3
2014,Wilkinson County,Georgia,1
2015,Will County,Illinois,50
2016,Williams County,North Dakota,2
2017,Williams County,Ohio,2
2018,Williamsburg County,South Carolina,4
2019,Williamsburg city,Virginia,2
2020,Williamson County,Illinois,4
2021,Williamson County,Tennessee,17
2022,Williamson County,Texas,29
2023,Wilson County,North Carolina,4
2024,Wilson County,Tennessee,4
2025,Wilson County,Texas,1
2026,Winchester city,Virginia,3
2027,Windham County,Vermont,16
2028,Windsor County,Vermont,6
2029,Winnebago County,Illinois,21
2030,Winnebago County,Iowa,1
2031,Winnebago County,Wisconsin,14
2032,Winneshiek County,Iowa,4
2033,Winona County,Minnesota,9
2034,Wise County,Virginia,1
2035,Wolfe County,Kentucky,1
2036,Wood County,Ohio,4
2037,Wood County,West Virginia,5
2038,Wood County,Wisconsin,10
2039,Woodbury County,Iowa,8
2040,Woodford County,Illinois,2
2041,Woodford County,Kentucky,3
2042,Woodward County,Oklahoma,1
2043,Worcester County,Maryland,3
2044,Worcester County,Massachusetts,56
2045,Wright County,Minnesota,7
2046,Wright County,Missouri,2
2047,Wyandot County,Ohio,3
2048,Wyandotte County,Kansas,5
2049,Wyoming County,New York,2
2050,Wyoming County,Pennsylvania,1
2051,Wythe County,Virginia,1
2052,Yadkin County,North Carolina,2
2053,Yakima County,Washington,12
2054,Yamhill County,Oregon,5
2055,Yancey County,North Carolina,3
2056,Yankton County,South Dakota,3
2057,Yates County,New York,15
2058,Yavapai County,Arizona,13
2059,Yellow Medicine County,Minnesota,1
2060,Yellowstone County,Montana,11
2061,Yolo County,California,11
2062,York County,Maine,10
2063,York County,Nebraska,4
2064,York County,Pennsylvania,34
2065,York County,South Carolina,10
2066,York County,Virginia,3
2067,Yuba County,California,1
2068,Yuma County,Arizona,6
