,County,State,num_private_schools
572,Elk County,Pennsylvania,3
573,Elkhart County,Indiana,35
574,Elko County,Nevada,1
575,Ellis County,Kansas,2
576,Ellis County,Texas,5
577,Elmore County,Alabama,4
578,Elmore County,Idaho,2
579,Emanuel County,Georgia,1
580,Emmet County,Iowa,1
581,Emmet County,Michigan,3
582,Erath County,Texas,2
583,Erie County,New York,52
584,Erie County,Ohio,5
585,Erie County,Pennsylvania,20
586,Escambia County,Alabama,2
587,Escambia County,Florida,32
588,Essex County,Massachusetts,67
589,Essex County,New Jersey,56
590,Essex County,New York,6
591,Essex County,Vermont,1
592,Essex County,Virginia,3
593,Etowah County,Alabama,5
594,Evangeline Parish,Louisiana,1
595,Evans County,Georgia,1
596,Fairbanks North Star Borough,Alaska,7
597,Fairfax County,Virginia,110
598,Fairfax city,Virginia,5
599,Fairfield County,Ohio,8
600,Fairfield County,South Carolina,1
601,Fall River County,South Dakota,1
602,Falls Church city,Virginia,3
603,Fannin County,Georgia,1
604,Fannin County,Texas,1
605,Faribault County,Minnesota,2
606,Faulkner County,Arkansas,4
607,Fauquier County,Virginia,11
608,Fayette County,Georgia,19
609,Fayette County,Illinois,2
610,Fayette County,Indiana,3
611,Fayette County,Iowa,1
612,Fayette County,Kentucky,26
613,Fayette County,Ohio,1
614,Fayette County,Pennsylvania,13
615,Fayette County,Tennessee,3
616,Fayette County,Texas,3
617,Fayette County,West Virginia,4
618,Fergus County,Montana,2
619,Ferry County,Washington,1
620,Fillmore County,Minnesota,1
621,Finney County,Kansas,3
622,Flagler County,Florida,7
623,Flathead County,Montana,10
624,Florence County,South Carolina,11
625,Floyd County,Georgia,7
626,Floyd County,Indiana,3
627,Floyd County,Iowa,1
628,Floyd County,Kentucky,1
629,Floyd County,Virginia,3
630,Fluvanna County,Virginia,4
631,Fond du Lac County,Wisconsin,15
632,Ford County,Illinois,1
633,Ford County,Kansas,1
634,Forest County,Pennsylvania,2
635,Forrest County,Mississippi,5
636,Forsyth County,Georgia,21
637,Forsyth County,North Carolina,14
638,Fort Bend County,Texas,54
639,Fountain County,Indiana,1
640,Franklin County,Georgia,1
641,Franklin County,Illinois,1
642,Franklin County,Indiana,2
643,Franklin County,Iowa,1
644,Franklin County,Kansas,1
645,Franklin County,Kentucky,3
646,Franklin County,Maine,1
647,Franklin County,Massachusetts,5
648,Franklin County,Missouri,11
649,Franklin County,New York,1
650,Franklin County,North Carolina,1
651,Franklin County,Ohio,83
652,Franklin County,Pennsylvania,27
653,Franklin County,Tennessee,3
654,Franklin County,Virginia,2
655,Franklin County,Washington,5
656,Franklin Parish,Louisiana,2
657,Franklin city,Virginia,1
658,Frederick County,Maryland,20
659,Frederick County,Virginia,8
660,Fredericksburg city,Virginia,1
661,Freeborn County,Minnesota,2
662,Fremont County,Colorado,2
663,Fremont County,Wyoming,3
664,Fresno County,California,17
665,Fulton County,Georgia,100
666,Fulton County,Indiana,1
667,Fulton County,Ohio,3
668,Fulton County,Pennsylvania,1
669,Gadsden County,Florida,3
670,Gage County,Nebraska,2
671,Gaines County,Texas,3
672,Gallatin County,Montana,15
673,Gallia County,Ohio,1
674,Galveston County,Texas,16
675,Garfield County,Colorado,5
676,Garfield County,Oklahoma,4
677,Garfield County,Utah,1
678,Garland County,Arkansas,5
679,Garrett County,Maryland,3
680,Gasconade County,Missouri,2
681,Gaston County,North Carolina,8
682,Geary County,Kansas,1
683,Geauga County,Ohio,38
684,Gem County,Idaho,3
685,Genesee County,Michigan,13
686,Genesee County,New York,3
687,Georgetown County,South Carolina,5
688,Gibson County,Indiana,4
689,Gila County,Arizona,3
690,Gilchrist County,Florida,2
691,Giles County,Tennessee,1
692,Giles County,Virginia,1
693,Gillespie County,Texas,2
694,Gilmer County,Georgia,2
695,Glacier County,Montana,2
696,Glades County,Florida,2
697,Gladwin County,Michigan,4
698,Glenn County,California,1
699,Gloucester County,New Jersey,18
700,Gloucester County,Virginia,2
701,Glynn County,Georgia,5
702,Gogebic County,Michigan,1
703,Gonzales County,Texas,1
704,Goochland County,Virginia,4
705,Goodhue County,Minnesota,5
706,Gordon County,Georgia,2
707,Goshen County,Wyoming,2
708,Grady County,Oklahoma,1
709,Grafton County,New Hampshire,11
710,Graham County,Arizona,1
711,Grand County,Colorado,2
712,Grand Forks County,North Dakota,4
713,Grand Traverse County,Michigan,7
714,Grant County,Indiana,5
715,Grant County,New Mexico,2
716,Grant County,South Dakota,1
717,Grant County,Washington,4
718,Grant County,West Virginia,3
719,Grant County,Wisconsin,8
720,Gratiot County,Michigan,3
721,Graves County,Kentucky,2
722,Gray County,Texas,1
723,Grays Harbor County,Washington,2
724,Grayson County,Kentucky,5
725,Grayson County,Texas,4
726,Grayson County,Virginia,1
727,Greater Bridgeport Planning Region,Connecticut,25
728,Greeley County,Nebraska,1
729,Green County,Wisconsin,3
730,Green Lake County,Wisconsin,5
731,Greenbrier County,West Virginia,3
732,Greene County,Arkansas,2
733,Greene County,Georgia,1
734,Greene County,Illinois,1
735,Greene County,Indiana,1
736,Greene County,Missouri,19
737,Greene County,New York,1
738,Greene County,North Carolina,1
739,Greene County,Ohio,9
740,Greene County,Pennsylvania,1
741,Greene County,Tennessee,3
742,Greene County,Virginia,1
743,Greenup County,Kentucky,1
744,Greenville County,South Carolina,45
745,Greenwood County,South Carolina,1
746,Gregg County,Texas,12
747,Grenada County,Mississippi,1
748,Grundy County,Illinois,1
749,Grundy County,Iowa,1
750,Grundy County,Tennessee,2
751,Guadalupe County,Texas,3
752,Guernsey County,Ohio,2
753,Guilford County,North Carolina,24
754,Gulf County,Florida,1
755,Gwinnett County,Georgia,44
756,Habersham County,Georgia,3
757,Hale County,Alabama,1
758,Hale County,Texas,1
759,Halifax County,North Carolina,2
760,Halifax County,Virginia,2
761,Hall County,Georgia,9
762,Hall County,Nebraska,5
763,Hamblen County,Tennessee,5
764,Hamilton County,Florida,4
765,Hamilton County,Indiana,28
766,Hamilton County,Iowa,1
767,Hamilton County,Nebraska,2
768,Hamilton County,Ohio,91
769,Hamilton County,Tennessee,35
770,Hamilton County,Texas,1
771,Hamlin County,South Dakota,1
772,Hampden County,Massachusetts,34
773,Hampshire County,Massachusetts,10
774,Hampshire County,West Virginia,1
775,Hampton County,South Carolina,1
776,Hampton city,Virginia,8
777,Hancock County,Georgia,2
778,Hancock County,Illinois,1
779,Hancock County,Indiana,2
780,Hancock County,Maine,7
781,Hancock County,Mississippi,4
782,Hancock County,Ohio,3
783,Hancock County,West Virginia,3
784,Hand County,South Dakota,1
785,Hanover County,Virginia,5
786,Hardee County,Florida,2
787,Hardeman County,Tennessee,1
788,Hardin County,Kentucky,3
789,Hardin County,Ohio,9
790,Hardin County,Tennessee,2
791,Hardin County,Texas,1
792,Harford County,Maryland,14
793,Harlan County,Kentucky,2
794,Harnett County,North Carolina,3
795,Harris County,Georgia,1
796,Harris County,Texas,231
797,Harrison County,Indiana,3
798,Harrison County,Kentucky,1
799,Harrison County,Mississippi,10
800,Harrison County,Missouri,1
801,Harrison County,Texas,2
802,Harrison County,West Virginia,5
803,Harrisonburg city,Virginia,2
804,Hart County,Georgia,1
805,Hartley County,Texas,2
806,Harvey County,Kansas,2
807,Hawaii County,Hawaii,16
808,Hays County,Texas,11
809,Haywood County,North Carolina,4
810,Hempstead County,Arkansas,1
811,Henderson County,Kentucky,1
812,Henderson County,North Carolina,15
813,Henderson County,Tennessee,2
814,Henderson County,Texas,1
815,Hendricks County,Indiana,6
816,Hendry County,Florida,2
817,Hennepin County,Minnesota,75
818,Henrico County,Virginia,27
819,Henry County,Alabama,1
820,Henry County,Georgia,17
821,Henry County,Illinois,2
822,Henry County,Indiana,2
823,Henry County,Missouri,3
824,Henry County,Ohio,3
825,Henry County,Tennessee,3
826,Henry County,Virginia,1
827,Herkimer County,New York,3
828,Hernando County,Florida,14
829,Hertford County,North Carolina,2
830,Hickman County,Tennessee,1
831,Hidalgo County,Texas,20
832,Highland County,Ohio,2
833,Highlands County,Florida,10
834,Hill County,Montana,1
835,Hill County,Texas,2
836,Hillsborough County,Florida,107
837,Hillsborough County,New Hampshire,53
838,Hillsdale County,Michigan,2
839,Hinds County,Mississippi,17
840,Hocking County,Ohio,2
841,Hockley County,Texas,1
842,Hoke County,North Carolina,1
843,Holmes County,Florida,1
844,Holmes County,Mississippi,1
845,Holmes County,Ohio,100
846,Holt County,Nebraska,2
847,Honolulu County,Hawaii,65
848,Hood County,Texas,1
849,Hood River County,Oregon,3
850,Hopewell city,Virginia,3
851,Hopkins County,Kentucky,3
852,Horry County,South Carolina,11
853,Hot Spring County,Arkansas,2
854,Hot Springs County,Wyoming,1
855,Houghton County,Michigan,1
856,Houston County,Alabama,6
857,Houston County,Georgia,8
858,Houston County,Minnesota,4
859,Howard County,Indiana,6
860,Howard County,Iowa,2
861,Howard County,Maryland,33
862,Howard County,Texas,2
863,Hudson County,New Jersey,37
864,Humboldt County,California,10
865,Humboldt County,Iowa,1
866,Humphreys County,Mississippi,1
867,Humphreys County,Tennessee,2
868,Hunt County,Texas,1
869,Hunterdon County,New Jersey,4
870,Huntingdon County,Pennsylvania,7
871,Huntington County,Indiana,2
872,Huron County,Michigan,5
873,Huron County,Ohio,4
874,Hutchinson County,South Dakota,1
875,Hyde County,North Carolina,1
876,Iberia Parish,Louisiana,5
877,Iberville Parish,Louisiana,2
878,Idaho County,Idaho,2
879,Imperial County,California,9
880,Indian River County,Florida,7
881,Indiana County,Pennsylvania,36
882,Ingham County,Michigan,16
883,Inyo County,California,1
884,Ionia County,Michigan,6
885,Iosco County,Michigan,2
886,Iowa County,Iowa,1
887,Iredell County,North Carolina,8
888,Iron County,Utah,5
889,Iron County,Wisconsin,1
890,Iroquois County,Illinois,4
891,Isabella County,Michigan,3
892,Isanti County,Minnesota,2
893,Island County,Washington,5
894,Isle of Wight County,Virginia,1
895,Itasca County,Minnesota,1
896,Jackson County,Alabama,2
897,Jackson County,Florida,2
898,Jackson County,Georgia,1
899,Jackson County,Illinois,5
900,Jackson County,Indiana,6
901,Jackson County,Iowa,2
902,Jackson County,Michigan,8
