,Unnamed: 0,County,total_popE,total_popM,whiteE,whiteM,blackE,blackM,native_americanE,native_americanM,asianE,asianM,pacific_islanderE,pacific_islanderM,other_raceE,other_raceM,two_or_moreE,two_or_moreM,med_incE,med_incM,hispanicE,hispanicM,poverty_incomeE,poverty_incomeM,poverty_totalE,poverty_totalM,number_of_schools,schools_per_capita,schools_per_10000,considered_low_income,poverty_rate,State
1152,10638,Cibola County,27211,,11620,895,400,202,11353,531,70,66,26,16,926,309,2816,712,49866,7183,10461,,7063,956,25902,50,2,7.349968762632759e-05,0.7349968762632759,46977.600000000006,27.268164620492623,New Mexico
1153,10640,Doña Ana County,219870,,128908,3861,4084,484,2717,500,2588,304,384,269,40723,2875,40466,2681,51232,2122,151592,,48732,3098,214116,298,7,3.183699458771092e-05,0.3183699458771092,46977.600000000006,22.759625623493807,New Mexico
1154,10641,Lea County,73103,,45587,1611,3078,360,800,236,440,15,0,31,5848,1059,17350,1682,65855,4832,44987,,12557,1588,70650,281,3,4.1037987497093144e-05,0.4103798749709314,46977.600000000006,17.773531493276717,New Mexico
1155,10642,Sierra County,2916,206.0,2600,176,7,2,78,76,0,13,0,13,147,124,84,64,61108,9237,332,129.0,359,182,2854,206,1,0.0003429355281207,3.429355281207133,46977.600000000006,12.578836720392433,New Mexico
1156,10643,Valencia County,76613,,48321,1455,1121,237,3121,482,589,190,30,57,8234,1226,15197,1669,56246,2765,46825,,13292,1709,74848,224,2,2.6105230182867136e-05,0.2610523018286713,46977.600000000006,17.75865754595981,New Mexico
1157,10646,Curry County,23404,,20541,371,88,106,311,151,188,60,0,25,262,149,2014,431,64300,5381,1825,,2886,551,23227,106,1,4.272773884806016e-05,0.4272773884806016,46977.600000000006,12.425194816377491,New Mexico
1158,10653,Sandoval County,149460,,90123,1918,3391,279,18214,560,2369,438,357,215,10830,1578,24176,1986,76424,2918,60690,,14965,1376,148322,269,4,2.6763013515321824e-05,0.2676301351532182,46977.600000000006,10.089534930758754,New Mexico
1159,10656,McKinley County,72073,,7477,468,386,95,55049,975,958,121,56,45,4070,813,4077,862,44029,2840,10559,,23950,1709,71320,182,6,8.324892817004981e-05,0.8324892817004981,46977.600000000006,33.58104318564218,New Mexico
1160,10658,Santa Fe County,154481,,104066,2419,1592,236,4888,391,2119,191,125,69,17948,1958,23743,1599,70522,2573,78479,,18751,1397,152064,231,17,0.0001100458956117,1.1004589561175808,46977.600000000006,12.330992213804713,New Mexico
1161,10666,Grant County,51842,,49279,187,903,100,57,39,469,55,2,4,181,85,951,182,63497,2131,1028,,6679,618,48379,119,1,1.9289379267775163e-05,0.1928937926777516,46977.600000000006,13.805576799851174,New Mexico
1162,10670,San Juan County,18001,,16115,101,110,68,101,42,226,35,46,9,492,116,911,121,76745,3390,1230,,1954,197,17778,41,8,0.000444419754458,4.444197544580857,46977.600000000006,10.991112611092362,New Mexico
1163,10684,Otero County,18580,,13788,759,236,16,356,247,152,32,9,11,1798,492,2241,541,47500,5935,7967,,4350,709,18130,33,4,0.0002152852529601,2.1528525296017222,46977.600000000006,23.993381136238277,New Mexico
1164,10711,San Miguel County,8082,,7471,165,44,39,64,55,57,56,0,18,162,123,284,147,72829,6124,920,,682,178,8044,31,2,0.0002474634991338,2.4746349913387773,46977.600000000006,8.478368970661363,New Mexico
1165,10712,Chaves County,64701,,44897,1440,1011,160,647,278,766,93,28,45,7881,1180,9471,1071,49673,2393,38206,,13522,1269,62071,448,1,1.5455711658243305e-05,0.154557116582433,46977.600000000006,21.78473038939279,New Mexico
1166,10713,Rio Arriba County,40285,,14240,1094,255,32,6029,207,220,49,9,15,12301,1004,7231,1017,52031,4182,28711,,8722,1312,39961,226,1,2.4823135161970957e-05,0.2482313516197095,46977.600000000006,21.826280623608017,New Mexico
1167,10718,Los Alamos County,19253,,15140,364,224,51,183,86,1029,145,0,21,677,226,2000,397,135801,8616,3525,,710,259,19145,37,2,0.0001038799148184,1.0387991481846983,46977.600000000006,3.70854008879603,New Mexico
1168,10740,Clark County,504091,,400592,2023,10122,843,3280,574,23465,858,3835,629,15880,1740,46917,2276,90115,1650,54176,,44315,2930,499749,464,64,0.0001269612034335,1.2696120343350703,57316.8,8.867451460633239,Nevada
1169,10744,Carson City,58249,,43436,972,1243,190,1197,273,1556,221,14,15,4710,730,6093,823,67465,2052,14576,,6213,899,55586,150,1,1.7167676698312416e-05,0.1716767669831241,57316.8,11.177274853380348,Nevada
1170,10748,Douglas County,49476,,41603,636,332,133,722,138,1057,167,93,31,2327,538,3342,477,84262,4442,6552,,3678,597,49185,79,1,2.02118198722613e-05,0.202118198722613,57316.8,7.477889600487954,Nevada
1171,10757,Lyon County,32182,,25678,687,577,205,169,111,610,157,0,24,911,246,4237,738,56415,2759,7232,,5034,689,31042,68,1,3.107327077248151e-05,0.3107327077248151,57316.8,16.21673861220282,Nevada
1172,10767,Washoe County,486674,,330713,2447,12133,723,6355,592,26126,911,3544,262,52118,2775,55685,3013,81531,1600,123956,,52165,3130,479485,757,17,3.493098049207478e-05,0.3493098049207477,57316.8,10.87938100253397,Nevada
1173,10772,Churchill County,25409,,19628,402,484,205,1031,156,716,161,46,50,1273,333,2231,473,69922,7313,3866,,2464,577,24800,102,2,7.871226730685978e-05,0.7871226730685978,57316.8,9.935483870967742,Nevada
1174,10798,Belknap County,63914,,60430,372,476,242,166,93,782,123,12,21,507,265,1541,342,80719,6424,1278,,5408,803,63104,70,1,1.564602434521388e-05,0.1564602434521388,57316.8,8.56997971602434,Nevada
1175,10806,Elko County,53600,,38092,997,464,132,2703,290,700,173,93,30,4457,1034,7091,1096,87755,3959,13424,,5473,965,52640,182,1,1.8656716417910448e-05,0.1865671641791045,57316.8,10.397036474164134,Nevada
1176,10828,Bronx County,1443229,,258727,5045,491689,4222,14119,1904,56630,1218,1726,715,462156,7967,158182,5935,47036,890,814017,,379925,9087,1411574,1277,47,3.256586446087211e-05,0.3256586446087211,65108.8,26.91498993322348,New York
1177,10830,Queens County,2360826,,720630,6229,417637,3873,13901,1273,614652,3022,1297,385,368856,7612,223853,5886,82431,873,661807,,272926,7346,2334022,1102,99,4.19344754759563e-05,0.419344754759563,65108.8,11.693377354626476,New York
1178,10831,New York County,1645867,,842952,5060,230583,3492,8518,1755,199086,1993,765,285,209622,6823,154341,6140,99880,1781,428297,,252677,7781,1599733,741,119,7.230231847409299e-05,0.7230231847409299,65108.8,15.79494828199456,New York
1179,10832,Richmond County,206153,,71015,830,115235,1528,252,104,3659,475,148,81,3907,950,11937,1528,50605,2478,10963,,40606,2987,195984,488,21,0.0001018660897488,1.0186608974887583,65108.8,20.719038288839904,New York
1180,10833,Kings County,152515,,78680,2381,9848,638,2596,480,5943,448,375,175,31275,2079,23798,1719,68540,2253,85622,,22634,2416,139603,355,184,0.0012064387109464,12.064387109464642,65108.8,16.213118629255817,New York
1181,10840,Monroe County,154823,,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,,16690,1561,153049,394,35,0.0002260646028044,2.2606460280449285,65108.8,10.905004279675138,New York
1182,10851,Ulster County,182153,,142478,1747,11022,484,343,131,3573,391,32,45,7051,1108,17654,1754,77197,3493,20154,,25740,1631,174977,227,12,6.587868440267248e-05,0.6587868440267248,65108.8,14.710504809203496,New York
