"GEOID","NAME","B01003_001E","B01003_001M","area_km2","pop_density"
"54025","Greenbrier County, West Virginia",32995,NA,2653.34556625036,12.4352441761394
"54027","Hampshire County, West Virginia",23275,NA,1669.61689689615,13.9403237013645
"54071","Pendleton County, West Virginia",6156,NA,1807.91905434149,3.40501970219139
"55003","Ashland County, Wisconsin",16041,NA,2730.1233102219,5.87555878518038
"55011","Buffalo County, Wisconsin",13329,NA,1838.00732833274,7.25187532962166
"04007","Gila County, Arizona",53419,NA,12418.7599522828,4.30147617034668
"05023","Cleburne County, Arkansas",24948,NA,1533.70225164234,16.266521075577
"05069","Jefferson County, Arkansas",66934,NA,2372.97821687927,28.2067486013528
"05029","Conway County, Arkansas",20782,NA,1467.07012949055,14.1656486504954
"05117","Prairie County, Arkansas",8217,NA,1749.66626819294,4.69632417871698
"05057","Hempstead County, Arkansas",20037,NA,1919.2633875793,10.4399428080958
"05067","Jackson County, Arkansas",16784,NA,1661.3500177192,10.1026272735965
"05039","Dallas County, Arkansas",6472,NA,1729.63966886305,3.74181982323188
"06039","Madera County, California",157243,NA,5575.53664463604,28.2023076919916
"06047","Merced County, California",282290,NA,5124.85585703212,55.0825248309478
"06103","Tehama County, California",65484,NA,7674.80161064387,8.53233781433294
"06115","Yuba County, California",81705,NA,1667.95253906532,48.9852067648073
"06043","Mariposa County, California",17130,NA,3789.1525058247,4.5207998288978
"08053","Hinsdale County, Colorado",911,129,2910.63015729867,0.312990641464903
"08033","Dolores County, Colorado",2329,NA,2764.93347207702,0.842334914572269
"12001","Alachua County, Florida",279729,NA,2509.35337796588,111.47453461766
"12073","Leon County, Florida",294128,NA,1817.74634952558,161.809154548304
"12093","Okeechobee County, Florida",39870,NA,2308.9183120427,17.2678261470095
"12013","Calhoun County, Florida",13753,NA,1487.90760052385,9.24318149538182
"12007","Bradford County, Florida",27816,NA,778.452325082012,35.7324387168726
"12023","Columbia County, Florida",69832,NA,2075.53569773561,33.6452897804581
"13089","DeKalb County, Georgia",761209,NA,701.984945491644,1084.36655926699
"13139","Hall County, Georgia",204953,NA,1111.82775923471,184.338804547452
"13153","Houston County, Georgia",164117,NA,984.055535893332,166.776156440209
"13137","Habersham County, Georgia",46326,NA,722.743142872848,64.0974604281374
"13157","Jackson County, Georgia",77033,NA,888.257828062467,86.7236939166976
"13279","Toombs County, Georgia",26946,NA,960.967573932507,28.0404882859164
