,PCNTNM,NAME,PPHONE,PCNTY,PCNTY22,P_INDIAN,P_ASIAN,P_PACIFIC,P_HISP,P_WHITE,P_BLACK,P_TR,STTCH_RT,State,ZIP,RELIG,ORIENT
18320,BARNWELL,BARNWELL CHRISTIAN SCHOOL,8032592100.0,11,1145,0.0,0.0,0.0,3.5087719298,92.98245614,3.5087719298,0.0,8.2608695652,SC,29817,2,24
18321,GREENVILLE,CAMPERDOWN ACADEMY,8642448899.0,45,4545,0.0,0.5376344086,0.0,2.1505376344,94.623655914,1.6129032258,1.0752688172,3.8669438669,SC,29607,3,30
18322,HORRY,CHABAD JEWISH ACADEMY,8434480035.0,51,5145,0.0,0.0,0.0,2.0833333333,89.583333333,8.3333333333,0.0,3.4285714286,SC,29577,2,18
18323,PICKENS,CLEMSON MONTESSORI SCHOOL,8646544483.0,77,7745,0.0,1.1627906977,0.0,1.1627906977,96.511627907,1.1627906977,0.0,8.6,SC,29631,3,30
18324,COLLETON,COMMUNITY CHRISTIAN ACADEMY,8438662662.0,29,2945,0.0,0.0,0.0,0.0,100.0,0.0,0.0,6.6037735849,SC,29082,2,5
18325,LEXINGTON,EDGE CHRISTIAN ACADEMY,8037962860.0,63,6345,0.0,93.103448276,0.0,0.0,0.0,6.8965517241,0.0,8.2857142857,SC,29170,2,8
18326,OCONEE,FOOTHILLS CHRISTIAN SCHOOL,8646471220.0,73,7345,0.0,4.9019607843,0.0,0.0,92.156862745,2.9411764706,0.0,7.8461538462,SC,29693,2,24
18327,OCONEE,FAITH CHRISTIAN SCHOOL,8647233453.0,73,7345,0.0,0.0,0.0,0.0,20.0,20.0,60.0,2.7777777778,SC,29691,2,8
18328,RICHLAND,BEN LIPPEN SCHOOL,8038074106.0,79,7945,0.0,10.316649642,0.102145046,2.0429009193,76.813074566,6.5372829418,4.1879468846,12.2375,SC,29203,2,8
18329,RICHLAND,"V.V. REID SCHOOL, LLC",8037359570.0,79,7945,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.3978494624,SC,29203,2,2
18330,RICHLAND,VICTORY BIBLE CHRISTIAN SCHOOL,8037816970.0,79,7945,0.0,57.894736842,0.0,5.2631578947,31.578947368,5.2631578947,0.0,12.258064516,SC,29063,2,8
18331,AIKEN,VICTORY CHRISTIAN SCHOOL,8032780125.0,3,345,0.0,2.9197080292,0.0,4.3795620438,79.562043796,8.7591240876,4.3795620438,7.8285714286,SC,29841,2,5
18332,WASHINGTON,ASHLEY ACADEMY,4239297888.0,179,17947,0.0,0.9259259259,0.9259259259,4.6296296296,90.740740741,2.7777777778,0.0,7.7142857143,TN,37601,3,30
18333,HENRY,BETHEL FELLOWSHIP MENNONITE SCHOOL,7317823209.0,79,7947,0.0,0.0,0.0,0.0,100.0,0.0,0.0,8.0,TN,38242,2,24
18334,GRUNDY,CEDARS OF LEBANON ACADEMY,9316923635.0,61,6147,0.0,0.0,0.0,8.3333333333,91.666666667,0.0,0.0,5.5384615385,TN,37110,2,29
18335,DAVIDSON,CHRIST PRESBYTERIAN ACADEMY,6153739550.0,37,3747,0.0824402308,1.2366034625,0.1648804617,1.4014839242,91.838417148,3.0502885408,2.2258862325,7.0811441915,TN,37215,2,27
18336,SULLIVAN,CHRISTIAN LIFE ACADEMY,4232882211.0,163,16347,0.0,1.4705882353,0.0,0.0,95.588235294,1.4705882353,1.4705882353,8.9473684211,TN,37660,2,8
18337,BRADLEY,CLEVELAND CHRISTIAN SCHOOL,4234762642.0,11,1147,0.0,4.5454545455,0.0,2.2727272727,92.045454545,1.1363636364,0.0,11.139240506,TN,37320,2,8
18338,SHELBY,CONCORD ACADEMY,9016823115.0,157,15747,1.9230769231,7.6923076923,0.0,1.9230769231,71.153846154,17.307692308,0.0,6.5,TN,38117,3,30
18339,HAMBLEN,FAITH CHRISTIAN ACADEMY,4235873060.0,63,6347,0.0,2.2222222222,0.0,6.6666666667,88.888888889,2.2222222222,0.0,13.235294118,TN,37814,2,5
18340,HAMILTON,HICKORY VALLEY CHRISTIAN SCHOOL,4238943200.0,65,6547,0.0,2.9411764706,0.0,7.3529411765,88.235294118,1.4705882353,0.0,6.017699115,TN,37421,2,8
18341,CLAIBORNE,J FRANK WHITE ACADEMY,4238696293.0,25,2547,0.0,1.5706806283,0.0,0.5235602094,95.287958115,2.6178010471,0.0,11.169590643,TN,37752,3,30
18342,CUMBERLAND,INEZ WRENN SDA SCHOOL,9314843150.0,35,3547,0.0,0.0,0.0,25.0,75.0,0.0,0.0,10.0,TN,38557,2,28
18343,WILSON,JESUS ONLY ACADEMY,6152426216.0,189,18947,0.0,0.0,0.0,33.333333333,55.555555556,11.111111111,0.0,6.9230769231,TN,37210,2,26
18344,KNOX,KNOXVILLE ADVENTIST SCHOOL,8655229929.0,93,9347,3.125,6.25,0.0,9.375,59.375,21.875,0.0,6.5306122449,TN,37919,2,28
18345,HENRY,LAKESIDE CHRISTIAN ACADEMY,7316443572.0,79,7947,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.1111111111,TN,38242,2,8
18346,WEAKLEY,LIBERTY CHRISTIAN ACADEMY,7312353116.0,183,18347,0.0,0.0,0.0,25.0,75.0,0.0,0.0,4.8780487805,TN,38225,2,29
18347,SULLIVAN,LIGHTHOUSE CHRISTIAN SCHOOL,4232473578.0,163,16347,0.0,0.0,0.0,0.0,97.222222222,1.3888888889,1.3888888889,6.9230769231,TN,37665,2,29
18348,LAWRENCE,MCDOWELL MIDDLE AMISH SCHOOL,,99,9947,0.0,0.0,0.0,0.0,100.0,0.0,0.0,20.0,TN,38456,2,3
18349,LAWRENCE,MINT SPRINGS AMISH SCHOOL,,99,9947,0.0,0.0,0.0,0.0,100.0,0.0,0.0,22.0,TN,38456,2,3
18350,OVERTON,MONTEREY MENNONITE SCHOOL,9314457782.0,133,13347,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.406779661,TN,38574,2,24
18351,BLOUNT,LITTLE RIVER MONTESSORI SCHOOL,8654983277.0,9,947,0.0,0.0,0.0,4.2553191489,93.617021277,0.0,2.1276595745,4.1228070175,TN,37934,3,30
18352,LAWRENCE,NORTH AMISH SCHOOL,,99,9947,0.0,0.0,0.0,0.0,100.0,0.0,0.0,13.0,TN,38456,2,3
18353,LAWRENCE,LONE OAK AMISH SCHOOL,,99,9947,0.0,0.0,0.0,0.0,100.0,0.0,0.0,18.0,TN,38456,2,3
18354,MADISON,TRINITY CHRISTIAN ACADEMY,7314108230.0,113,11347,0.0,1.4598540146,0.0,2.1897810219,91.240875912,5.1094890511,0.0,9.8561151079,TN,38305,2,8
18355,KNOX,WEST END ACADEMY,8656901720.0,93,9347,0.0,0.0,0.0,0.0,75.0,0.0,25.0,4.0,TN,37921,2,8
18356,LAWRENCE,WEST AMISH SCHOOL,,99,9947,0.0,0.0,0.0,0.0,100.0,0.0,0.0,14.0,TN,38456,2,3
18357,GREENE,RIVER ACADEMY,4237878708.0,59,5947,0.0,0.0,0.0,2.4390243902,87.804878049,9.756097561,0.0,8.2,TN,37743,2,8
18358,SHELBY,WORD OF FAITH CHRISTIAN ACADEMY,9017444061.0,157,15747,0.0,0.0,0.0,4.0,0.0,94.666666667,1.3333333333,16.304347826,TN,38111,2,8
18359,RANDALL,HOLY CROSS CATHOLIC ACADEMY,8063559637.0,381,38148,0.0,3.5087719298,0.0,51.754385965,43.859649123,0.0,0.8771929825,12.666666667,TX,79110,1,1
18360,MCLENNAN,WACO MONTESSORI SCHOOL,2547543966.0,309,30948,0.0,4.6052631579,0.0,7.8947368421,81.578947368,1.3157894737,4.6052631579,7.2037914692,TX,76701,3,30
18361,HARRIS,THE BANFF SCHOOL,8323608238.0,201,20148,1.2658227848,25.949367089,0.0,5.0632911392,53.164556962,7.5949367089,6.9620253165,7.7073170732,TX,77069,3,30
18362,SMITH,BISHOP TK GORMAN CATHOLIC SCHOOL,9035612424.0,423,42348,0.0,3.6529680365,0.0,3.196347032,82.191780822,8.6757990868,2.2831050228,8.6561264822,TX,75701,1,1
18363,TARRANT,ST PAUL'S PREPARATORY ACADEMY,8175613500.0,439,43948,1.0869565217,2.1739130435,0.5434782609,21.195652174,41.847826087,22.826086957,10.326086957,8.5185185185,TX,76001,2,8
18364,TARRANT,THE JANE JUSTIN SCHOOL,6823039287.0,439,43948,0.0,12.195121951,0.0,0.0,52.43902439,8.5365853659,26.829268293,5.8571428571,TX,76102,3,30
18365,HARRIS,CONCORDIA LUTHERAN HIGH SCHOOL,2813512547.0,201,20148,0.0,0.9174311927,0.0,1.8348623853,93.577981651,3.6697247706,0.0,8.0383480826,TX,77375,2,20
18366,EL PASO,EL PASO COUNTRY DAY SCHOOL,9155334492.0,141,14148,0.0,12.962962963,0.0,51.851851852,33.333333333,1.8518518519,0.0,7.6056338028,TX,79902,3,30
18367,HARRIS,GRACE SCHOOL,7137814990.0,201,20148,0.0,6.1764705882,0.2941176471,7.0588235294,72.352941176,8.5294117647,5.5882352941,9.1891891892,TX,77042,2,27
18368,TRAVIS,HUNTINGTON-SURREY HIGH SCHOOL,5125025400.0,453,45348,0.0,8.8235294118,0.0,2.9411764706,88.235294118,0.0,0.0,4.25,TX,78756,3,30
18369,HARRIS,STJOHN PAUL II CATHOLIC SCHOOL,2814961500.0,201,20148,0.0,10.093167702,0.1552795031,42.857142857,35.559006211,4.6583850932,6.6770186335,15.745721271,TX,77077,1,1
18370,JOHNSON,JOSHUA ADVENTIST MULTIGRADE SCHOOL,8175562109.0,251,25148,0.0,0.0,0.0,31.666666667,60.0,3.3333333333,5.0,11.320754717,TX,76058,2,28
18371,HARRIS,LUTHERAN HIGH NORTH,7138803131.0,201,20148,0.0,3.9215686275,0.9803921569,19.607843137,33.333333333,32.352941176,9.8039215686,6.8918918919,TX,77018,2,20
18372,HIDALGO,THE PHARR ORATORY OF ST PHILIP NERI SCHOOL SYSTEM,9567813056.0,215,21548,0.0,0.0,0.0,79.797979798,20.202020202,0.0,0.0,8.5344827586,TX,78577,1,1
18373,MEDINA,ST LOUIS CATHOLIC SCHOOL,8309313544.0,325,32548,0.0,4.3859649123,0.0,42.98245614,52.631578947,0.0,0.0,11.4,TX,78009,1,1
18374,HARRIS,ST MARK'S EPISCOPAL SCHOOL,7136677030.0,201,20148,0.0,10.052910053,0.0,15.343915344,62.962962963,1.8518518519,9.7883597884,8.2352941176,TX,77025,2,14
18375,GALVESTON,ST MARY CATHOLIC SCHOOL,2813324014.0,167,16748,0.0,3.7558685446,0.0,22.0657277,63.38028169,2.3474178404,8.4507042254,10.142857143,TX,77573,1,1
18376,HARRIS,THE PARISH SCHOOL,7134674696.0,201,20148,0.0,9.0909090909,0.0,5.6818181818,73.863636364,2.2727272727,9.0909090909,3.7288135593,TX,77043,3,30
18377,SALT LAKE,WASATCH CANYONS ACADEMY AT PRIMARY CHILDRENS HOSP,8013137866.0,35,3549,0.0,2.5641025641,2.5641025641,10.256410256,79.487179487,5.1282051282,0.0,7.9591836735,UT,84123,3,30
18378,SUMMIT,PARK CITY DAY SCHOOL,4356492791.0,43,4349,0.0,1.5384615385,2.3076923077,10.769230769,84.615384615,0.7692307692,0.0,8.3870967742,UT,84098,3,30
18379,WEBER,CHILDRENS CLASSIC,8013994446.0,57,5749,2.5641025641,2.5641025641,0.0,10.256410256,84.615384615,0.0,0.0,16.956521739,UT,84404,3,30
18380,UTAH,DISCOVERY ACADEMY,8013742121.0,49,4949,0.0,0.0,0.0,4.8387096774,38.709677419,1.6129032258,54.838709677,10.333333333,UT,84601,3,30
18381,SALT LAKE,GRACE LUTHERAN SCHOOL,8015723793.0,35,3549,1.724137931,8.6206896552,1.724137931,6.8965517241,72.413793103,3.4482758621,5.1724137931,4.4615384615,UT,84092,2,20
18382,SALT LAKE,REID SCHOOL,8014664214.0,35,3549,3.0769230769,3.0769230769,0.0,0.0,89.230769231,0.0,4.6153846154,9.2857142857,UT,84109,3,30
